Frame, Point Count
1,48
2,49
4,58
5,52
6,47
7,63
8,57
9,74
10,72
11,80
12,84
13,78
14,87
15,84
16,93
17,91
18,99
19,104
20,114
21,116
22,122
23,126
24,124
25,125
26,134
27,136
28,150
29,140
30,156
31,149
32,161
33,159
35,162
37,163
38,165
39,171
40,179
41,178
42,174
43,192
44,194
45,202
46,192
47,197
48,193
50,180
51,210
52,196
53,202
54,199
55,196
56,208
57,229
58,216
59,214
60,226
61,236
62,220
63,228
64,229
65,231
66,237
67,234
68,254
69,249
70,251
71,253
72,239
73,255
74,242
75,255
76,264
77,258
78,263
79,272
80,279
81,281
82,266
83,268
84,276
85,271
86,277
87,281
88,273
89,296
90,308
91,309
92,306
93,312
94,307
95,324
96,306
97,332
98,321
99,322
100,335
101,337
102,350
103,362
104,358
105,353
106,354
107,357
108,366
109,363
110,379
111,398
112,396
113,401
114,409
115,408
116,421
117,412
118,421
119,442
120,434
121,435
122,448
124,445
125,448
126,454
127,453
128,465
129,459
130,460
131,470
132,473
133,495
134,481
135,477
136,463
137,462
138,464
139,467
140,466
141,467
142,473
143,468
144,467
145,466
146,468
147,463
148,462
149,463
150,466
151,465
154,467
155,463
159,462
161,460
162,463
163,462
164,460
165,461
168,463
169,458
170,459
171,460
172,463
173,464
174,467
175,464
176,467
177,469
179,467
180,459
181,469
183,463
184,461
185,462
186,459
187,450
188,457
189,456
190,440
192,431
194,428
195,420
196,413
197,427
198,425
199,429
200,416
201,406
202,390
203,389
204,382
205,368
206,357
207,353
208,357
209,356
210,346
211,332
212,342
213,336
214,326
215,330
216,328
217,320
218,316
219,308
220,318
221,314
222,310
223,293
224,296
225,303
226,302
227,287
228,277
229,278
230,274
231,269
232,272
233,271
234,259
235,265
236,283
237,267
238,265
239,266
240,272
241,249
242,245
243,246
244,251
245,254
246,246
247,245
248,256
249,228
250,229
251,224
252,241
253,228
254,227
255,231
256,230
257,234
258,222
259,212
260,202
261,206
262,201
263,202
264,206
265,196
266,200
267,193
268,195
269,200
270,197
271,194
272,188
273,185
274,172
275,176
276,177
277,181
278,174
279,176
280,168
281,174
282,163
283,155
284,159
285,152
286,145
287,148
288,137
289,142
290,139
291,134
292,127
293,122
295,112
296,109
297,110
298,98
299,101
300,95
301,93
302,80
303,85
304,73
305,76
306,65
307,61
308,50
310,38
311,43
312,36
313,19
319,23
320,18
321,23
323,19
324,14
326,15
329,19
331,14
332,19
333,15
334,20
335,15
336,18
337,23
339,18
340,23
341,18
342,23
343,16
344,23
349,18
352,23
353,18
354,40
355,23
356,18
357,23
358,40
359,42
361,51
362,49
363,44
364,49
365,44
366,49
372,44
373,49
374,44
382,49
384,51
385,45
388,46
389,43
391,37
395,43
397,39
401,44
402,51
403,58
404,54
405,66
406,67
407,77
408,82
409,85
410,94
412,91
413,103
414,106
416,105
417,112
418,123
419,120
420,130
421,128
422,126
423,132
424,136
425,138
426,141
428,147
429,152
430,153
431,159
432,167
433,169
434,165
435,173
436,178
437,180
439,188
440,196
441,201
442,191
443,202
444,191
445,201
446,189
447,203
448,204
449,210
450,209
451,205
452,214
454,216
455,211
456,207
457,220
458,228
459,223
460,226
461,233
462,230
463,226
464,228
467,229
468,242
469,236
470,241
471,245
473,246
474,250
475,260
476,249
477,258
478,273
479,268
480,275
481,292
482,279
483,295
484,284
485,302
487,306
488,333
490,335
491,334
492,341
493,349
494,356
496,374
497,375
498,376
499,372
500,377
501,388
502,393
503,390
504,407
505,412
506,411
507,420
508,422
509,425
510,420
511,425
512,447
513,452
514,443
515,457
516,463
517,469
518,480
519,484
520,479
521,482
522,488
523,497
524,496
526,499
527,511
528,504
530,511
531,500
532,494
533,496
534,497
535,494
537,493
538,495
539,501
540,499
541,496
542,495
543,496
544,501
545,494
546,493
547,494
548,497
550,500
552,499
555,500
556,502
558,500
559,503
561,501
562,504
563,499
564,500
565,506
567,505
568,504
569,505
570,504
571,505
572,504
573,501
574,502
576,501
577,500
578,504
579,502
580,506
581,510
582,505
584,497
585,506
586,503
587,488
588,481
589,482
590,477
591,472
592,465
593,466
594,460
595,455
596,465
597,461
598,455
599,463
600,446
601,440
602,441
603,425
604,415
605,421
606,398
607,404
608,375
609,376
610,364
611,363
612,380
613,384
614,372
615,374
616,360
617,357
618,355
619,358
620,336
621,339
622,345
623,341
624,319
625,318
626,290
627,269
628,274
629,276
630,273
631,281
632,257
633,256
634,260
635,266
636,252
637,254
638,237
640,252
641,234
642,258
643,254
644,251
645,240
646,250
647,232
648,229
649,221
651,231
652,228
653,216
654,220
655,218
656,212
657,205
658,204
659,191
660,195
661,203
662,204
663,201
664,199
665,183
666,178
667,173
668,178
669,176
670,180
671,181
672,192
673,173
674,174
675,173
676,169
677,168
678,162
679,149
680,151
681,148
682,139
683,143
684,141
685,137
686,131
687,129
688,124
689,115
690,108
691,111
692,104
693,99
694,91
695,89
696,91
697,79
698,81
699,76
700,65
701,62
703,61
704,52
705,41
706,39
707,37
708,18
711,23
